old_category,new_category
AI/Tech,AI & Technology
Artificial Intelligence,AI & Technology
Climate Change,Climate Change & Sustainability
Disaster Relief,Climate Change & Sustainability
Sustainability,Climate Change & Sustainability
2024 Election,Elections & Administration
Election Integrity & Voting Rights,Elections & Administration
Financials,Financial Sector Risks
Health Equity,Health Access
Healthcare Access,Health Access
International Reputational Risk,International Reputational Risks
Nutrition & Food access,Nutrition & Food Access
Political Expression,Religious & Political Diversity
Religious Diversity,Religious & Political Diversity
Workers' Rights,Workers' Rights
Veteran's Rights,Veterans' Rights
